case_id,slide_id,label,stem-like,diff,immune,neuron,glia,endothelial,GN,lymphoid_cells,MES_ATYP,MES_TYP,myeloid_cells,RTK_I,RTK_II
207831660013_R01C01,FF67_ST-23-8627-A1,mesenchymal,0.11618479,0.653498774,0.110656032,0.071112179,0.048548224,0.001231654,0,0.016526334,0.000235172,0.004029983,0.00063877,0,0.977338086
207831660066_R02C01,FF66_ST-23-8626-A1,mesenchymal,0.624967807,0.128323186,0.070268885,0.037279672,0.13916045,0,0.019005265,0,0.013634805,0,0,0.921147119,0.046212811
207831660104_R08C01,FH82_ST-23-8995_A1 - 2023-11-22 09.11.25,RTK2,0,0.326168197,0.482179217,0.053006139,0.138646448,0.014855093,0,0.074807418,0.093512662,0.240754828,0.161062123,0,0.415007876
207831660111_R06C01,FG17_ST-23-8748_A1 - 2023-11-15 09.45.29,RTK2,0.523233977,0.083755753,0.239264352,0.034393149,0.119352769,0.012518602,0.016975518,0.034672411,0.00814989,0,0.090888987,0.836794593,0
207831660163_R02C01,FG61_SI-23-8707-A-3,RTK2,0.281607899,0.501636605,0.038919065,0.055210546,0.122625885,0.00808252,0.07230739,0.014465746,0,0,0,0.16167378,0.743470564
207831660174_R01C01,FG94_ST-23-8854_A1 - 2023-11-15 10.22.39,mesenchymal,0.155687853,0.371224781,0.39405414,0.041368893,0.037664333,0,0,0.029920747,0.629104265,0.181635864,0,0.100936951,0.058402174
207831660174_R04C01,FG97_ST-23-8858_A1 - 2023-11-15 10.26.05,RTK2,0.129498597,0.775636499,0.011993328,0.082871575,0,0,0,0.007817162,0,0,0,0,0.992182838
207831660174_R07C01,FI06_SS-23-8928-SLIDE-A3,RTK1,0.115284698,0.655350337,0.098605047,0.055676438,0.075083479,0.025437668,0.045686245,0.027343213,0,0,0.021407065,0.013094268,0.86703154
207831660176_R06C01,FI34_ST-23-9090_A1 - 2023-11-27 13.23.34,mesenchymal,0.062883635,0.614717578,0.121238417,0.090485735,0.110674635,0,0,0,0.001569316,0.025514238,0,0,0.972916446
207831660176_R07C01,FI35_ST-23-9091_A1 - 2023-11-27 13.27.08,mesenchymal,0.093873585,0.517847823,0.157417963,0.08145673,0.149403899,0,0.013766075,0.026836563,0.004741239,0,0.04966131,0.016408085,0.888586728
207831660177_R03C01,FK21_ST-23-9459_A1 - 2023-12-07 13.35.01,mesenchymal,0.667388053,0.076089482,0.007541172,0.047912335,0.201068958,0,0.067529301,0.000987717,0.007397541,0,0.007158195,0.803925593,0.113001652
207831660179_R03C01,FJ25_SS-23-9171_A1 - 2023-12-08 07.34.04,mesenchymal,0.044895854,0.336763742,0.417227404,0.06702923,0.134083769,0.021245207,0.037412001,0.006834179,0.217174152,0.192472007,0.167763054,0,0.357099399
207831660181_R07C01,FJ85_SS-23-9000_A1 - 2023-12-08 07.37.53,mesenchymal,0.028947058,0.781953204,0.077555456,0.039719666,0.071824616,0,0.016161344,0,0.02921882,0.185016385,0,0,0.769603451
207831660197_R04C01,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16,RTK2,0.652589971,0.035507172,0.045085584,0.050826493,0.21599078,0,0.114509525,0.01179028,0.008111026,0,0.026254655,0.671496459,0.167838054
207837960018_R01C01,FF57_ST-23-8582-A1,RTK2,0,0.425753435,0.358600334,0.146142122,0.069504109,0,0.011353246,0.015843509,0.857689937,0,0,0,0.115113309
207837960018_R06C01,FF62_ST-23-8620-A1,RTK2,0.50347938,0.324956809,0,0.041279922,0.130283889,0,0.086110364,0,0,0,0,0.543555201,0.370334434
207837960018_R08C01,FF64_ST-23-8623-A1,RTK2,0.451593581,0.122200474,0.268586872,0.032890754,0.124728319,0,0.003786153,0.02585154,0.041508684,0.045416855,0.109106086,0.609189858,0.165140825
207837960080_R03C01,FF76_ST-23-8646-A1,RTK2,0,0.390623729,0.353007318,0.06597258,0.190396372,0.016700889,0.04910896,0.009190238,0.022956905,0.218044272,0.169175505,0.003251947,0.511571284
208009790003_R02C01,FQ92_ST-24-200_A-1 - 2024-02-02 14.10.21,RTK2,0.30141505,0.22867986,0.194823524,0.065203884,0.209877682,0.000944785,0.037808591,0,0.011027289,0,0.110232995,0.377780787,0.462205552
208009790021_R07C01,FL36_ST-23-9660-A1_HE,mesenchymal,0,0.45527592,0.332383859,0.073865241,0.13847498,0.0089616,0,0.00511415,0.041076445,0.18766956,0.099793918,0,0.657384327
208009790049_R06C01,FO62_ST-23-10190_A1 - 2024-01-09 11.57.41,RTK2,0.717256074,0.054105686,0.04083467,0.04526585,0.14253772,0.003409947,0.034836339,0.01235417,0,0,0.000403195,0.933814503,0.015181847
208009790073_R02C01,FL39_ST-23-9681-SLIDE-A1,RTK2,0.072969069,0.340279358,0.504168825,0.045588335,0.036994414,0,0,0.020757223,0.675725479,0.079744904,0.123922843,0.011451639,0.088397911
208009790075_R04C01,FM21_ST-23-9749-A-1,mesenchymal,0.070032382,0.277803078,0.345403607,0.135269742,0.171491191,0.064101901,0.156453595,0.064481997,0.07884351,0.17011842,0.126101907,0.054846453,0.285052217
208009790077_R06C01,FP56_ST-24-112-SLIDE-A1,mesenchymal,0.592873323,0.074836907,0.131606415,0.050660894,0.150022461,0,0.05138854,0.037944135,0.023838054,0,0.004405172,0.882424098,0
208009790080_R04C01,FN10_ST-23-9937-SLIDE-A1,mesenchymal,0.115812838,0.717274832,0.046332262,0.065706343,0.054873725,0.002120378,0.012348508,0.016271749,0,0,0,0,0.969259364
208009790080_R05C01,FN11_ST-23-8863-SLIDE-B1,RTK2,0,0.252064265,0.3988284,0.067277851,0.281829484,0.007388155,0.008265599,0.051429428,0.005163557,0.572905172,0.087917853,0,0.266930236
208009790120_R03C01,FM44_ST-23-9798_A1 - 2023-12-22 10.28.21,mesenchymal,0,0.32944295,0.43941886,0.074841794,0.156296397,0.032806203,0,0.027871955,0.081852191,0.200859424,0.151864514,0,0.504745711
208009790127_R01C01,FQ12_ST-24-171-A - 2024-01-19 17.32.17,RTK2,0.045837884,0.57677155,0.16218322,0.090421407,0.124785939,0,0.004346366,0.010956142,0,0,0.055440556,0.002977918,0.926279019
208009790150_R01C01,FL73_SS-23-9561-A-1,RTK2,0.561859349,0.149533523,0.070680809,0.040455611,0.177470707,0,0.05080503,0.010381859,0.045990725,0,0.010719145,0.725374823,0.156728417
208009790150_R04C01,FL97_ST-23-9717_A1 - 2023-12-20 12.26.14,RTK2,0,0.277416205,0.482336485,0.050360746,0.189886564,0.029318518,0.080987451,0.013799747,0.115384584,0.30957671,0.221223399,0.0018675,0.227842091
208009790150_R08C01,FM47_SS-23-9781-A-1,RTK2,0.082872317,0.758330209,0.047528545,0.06502117,0.046247758,0,0,0.006075488,0,0,0,0,0.993924512
208009790173_R05C01,FL18_ST-23-9665-SLIDE-A1,mesenchymal,0,0.267310313,0.427972844,0.049065308,0.255651536,0.048346792,0.053197672,0.033814354,0.036150328,0.550334341,0.114343203,0,0.163813309
208010440132_R02C01,FM96_ST-23-9851-SLIDE-A1,mesenchymal,0.117243142,0.450667391,0.176871356,0.093224461,0.16199365,0.061244558,0.00143746,0.023383507,0,0,0.020467154,0.196637085,0.696830236
208144140064_R05C01,FS43_ST-24-544_A1 - 2024-02-01 11.41.24,RTK1,0,0.620694459,0.130738829,0.085333148,0.163233564,0.011709524,0.042446531,0.0199575,0.018849197,0.091743258,0.009270249,0,0.806023741
208144140066_R01C01,FU57_SI-24-487-A-2,mesenchymal,0.10535493,0.595075658,0.131639716,0.096377363,0.071552333,0,0.054260734,0.011350686,0.052086983,0.066191436,0.015984776,0,0.800125384
208144140108_R06C01,FX09_ST-24-1283_A-1 - 2024-02-28 12.43.09,mesenchymal,0,0.514050847,0.279117443,0.06549546,0.141336249,0.012197553,0.018802933,0.002101346,0.050387035,0.229271055,0.101744844,0,0.585495235
208144140120_R02C01,FT88_ST-24-781-A1,mesenchymal,0,0.310517388,0.550784563,0.048159296,0.090538753,0.002048111,0.011776022,0,0.063755761,0.217802425,0.364190918,0,0.340426763
