,train,val,test
0,,,TCGA-26-5135-01Z-00-DX1.928F0E13-33FE-4669-9DCE-A53654D99764
1,,,TCGA-06-6388-01Z-00-DX1.14c09c5f-3ea4-4e1e-a5e6-308325383165
2,,,TCGA-06-0171-01Z-00-DX1.70065449-b7e1-4057-9aef-5cd94d57e6ad
3,,,TCGA-26-A7UX-01Z-00-DX1.C84437DC-E699-41A2-8D4F-722389C3D8ED
4,,,TCGA-26-5134-01Z-00-DX1.0498BB2B-7FA9-4DA8-8308-0AE4CBE3F8CB
5,,,TCGA-06-0210-01Z-00-DX1.14cee57f-1239-4e5a-8bab-f70fa36dd367
6,,,TCGA-26-5139-01Z-00-DX1.0113F34B-C27D-4793-8790-CE3EEB193DF9
7,,,TCGA-19-5950-01Z-00-DX1.4ee3aa4f-8cd7-4acd-b6e3-2829adf8da7a
8,,,TCGA-06-5858-01Z-00-DX1.d964971f-f75f-478a-bc85-10a510bd2835
9,,,TCGA-19-A60I-01Z-00-DX1.3893212E-986C-449D-B0EC-C90D2DD907E2
10,,,TCGA-19-5958-01Z-00-DX1.1eab6caf-602c-4000-9683-c44a925ec0a5
11,,,TCGA-06-0125-01Z-00-DX2.4f9cef92-2bdb-480d-8704-94289f8b70fb
12,,,TCGA-19-5951-01Z-00-DX1.a0b16abe-6c89-4fc1-95c5-56757360896b
13,,,TCGA-19-5959-01Z-00-DX1.86907dc7-c0ce-48e6-b67c-a3134f8b4aa2
14,,,TCGA-06-0152-01Z-00-DX1.1fc06545-499a-45dc-8815-e987ba3b3630
15,,,TCGA-19-5960-01Z-00-DX1.3376dcf2-9873-445e-83a9-95c5b208efc7
16,,,TCGA-19-5954-01Z-00-DX1.b2e11be4-3f71-4d05-9405-c41dee3fc5b5
17,,,TCGA-06-5859-01Z-00-DX1.ab40e405-f25a-4fd2-95a2-ed86f8a2007f
18,,,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17
19,,,TCGA-26-5136-01Z-00-DX1.ECD48B1B-C2BF-4DFE-8ED4-87353E00ED84
20,,,TCGA-26-5132-01Z-00-DX1.390D6188-C9C6-4DD2-8CCE-A43444F28EE5
21,,,TCGA-26-6173-01Z-00-DX1.A612A5EC-A048-4A8F-AE2D-5A07C8B030D1
22,,,TCGA-19-5947-01Z-00-DX1.8f5a42c0-87d5-4c73-9dcb-f054c5a7a96f
23,,,TCGA-06-0190-01Z-00-DX1.84da294a-81f2-4820-b72e-f084769f771a
24,,,TCGA-19-5953-01Z-00-DX1.c069ba1e-7819-4e22-b1cd-c431b93b1eb8
25,,,TCGA-06-6390-01Z-00-DX1.b5ab515a-7b50-4e73-a999-f581232b005a
26,,,TCGA-19-5955-01Z-00-DX1.ef448923-881d-47cd-89fd-261f0a1c7f49
27,,,TCGA-19-5952-01Z-00-DX1.286b1d55-5634-4a8a-a8f1-08bbfc861dbd
28,,,TCGA-19-A6J4-01Z-00-DX1.515A82A7-8BCE-4BAE-B052-9D5B114EF51A
29,,,TCGA-26-6174-01Z-00-DX1.D5C87A05-8A2E-4108-99DA-1B8425D99C42
30,,,TCGA-RR-A6KB-01Z-00-DX1.90E22C0F-CA68-4EEB-BB13-2DD67C895A94
