train,val,test
U434_SS-19-1191,AP67_SB21-6496_B1_3,AP67_SB21-6496_B1_3
V105_SS-19-3133,ACNK_PM_005,ACNK_PM_005
V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58,DO27_ST-23-952-A-1-SL1-2023-02-16_16.01.13,DO27_ST-23-952-A-1-SL1-2023-02-16_16.01.13
W165_SS-19-6009_40x_S60-2019-10-22-18-36-26,ADOY_PM_001,ADOY_PM_001
W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,AAOE_PM_001,AAOE_PM_001
W819-ST-19-7750-40x-S60,AU08_ST-21-7776_A1_-_2021-08-11_10.38.51,AU08_ST-21-7776_A1_-_2021-08-11_10.38.51
W549-SS-19-7128-40x-S60,ER34_ST-23-6041_A-1-2023-08-15 11.18.43,ER34_ST-23-6041_A-1-2023-08-15 11.18.43
Y082_ST-20-2549_20x_XR,AAVO_PM_003,AAVO_PM_003
Y129_ST-20-2671_20x_S60,EM82_ST-23-5491-A1 - 2023-07-18 13.35.38,EM82_ST-23-5491-A1 - 2023-07-18 13.35.38
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,AQ60_ST-21-7136_A1,AQ60_ST-21-7136_A1
Y130_ST-20-2672_20x_S60,AO42_ST-21-6553_A1_-_2021-06-23_14.08.47,AO42_ST-21-6553_A1_-_2021-06-23_14.08.47
Z117_ST-20-5139_A1,CV32_ST-22-7143_B1,CV32_ST-22-7143_B1
Z099_SS-20-5127_A2,DI68_ST-22-9382_A1_-_2023-01-12_14.36.41,DI68_ST-22-9382_A1_-_2023-01-12_14.36.41
Y640_SS-20-3950_20x_S60,V260_SI-19-3130_2019-06-27_16.57.53,V260_SI-19-3130_2019-06-27_16.57.53
Z256_SI-20-5097_A1,Y128_ST-20-2670_20x_S60,Y128_ST-20-2670_20x_S60
AI06_ST-21-4956_A1,CB36_SS-22-3150_A1,CB36_SS-22-3150_A1
AQ12_ST-21-6963_A1,CW44_ST-22-7238_A2-20,CW44_ST-22-7238_A2-20
AM87_ST-21-5928_A-1_2 ,Z328_ST-20-5477_A1,Z328_ST-20-5477_A1
AY85_SS-21-8759_A1,CR32_ST-22-6142_A1-2022-09-07 14.29.45,CR32_ST-22-6142_A1-2022-09-07 14.29.45
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21,DW16_SS-23-2533_A-1-2023-04-14_12.20.47,DW16_SS-23-2533_A-1-2023-04-14_12.20.47
AW82_ST-21-8297_A1_-_2021-09-01_10.54.50,Y108_ST-20-2663_20x_XR,Y108_ST-20-2663_20x_XR
BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45,DJ57_ST-23-32-A1-2023-01-19_11.38.16,DJ57_ST-23-32-A1-2023-01-19_11.38.16
BW48_ST-22-2078_A1,DH58_ST-22-9165_A1-2023-01-09_13.55.08,DH58_ST-22-9165_A1-2023-01-09_13.55.08
CH46_SS-22-4070_A2,DB03_SI-22-8089_B1-20,DB03_SI-22-8089_B1-20
CP86_ST-22-5718_A1-20,BX79_ST-22-2290_A1,BX79_ST-22-2290_A1
CR10_ST-22-6073_A1,FQ12_ST-24-171-A - 2024-01-19 17.32.17,FQ12_ST-24-171-A - 2024-01-19 17.32.17
CK88_ST-22-4960_A1,ADOI_PM_001,ADOI_PM_001
CM16_ST-22-5284_A1,ADCY_PM_001,ADCY_PM_001
CP72_ST-22-5896_A1,ADCY_PM_004,ADCY_PM_004
CJ95_ST-22-4817_A1,ADCY_PM_003,ADCY_PM_003
CU17_ST-22-6646_A1,ADCY_PM_002,ADCY_PM_002
DB64_ST-22-8087_A1-20,EZ22_ST-23-7251_2023-09-27,EZ22_ST-23-7251_2023-09-27
DC18_ST-22-8425-A1-2022-11-22_11.19.57,Z903_ST-21-2781_A1,Z903_ST-21-2781_A1
CV51_ST-22-6835_A1-20,AARO_PM_004,AARO_PM_004
CV58_ST-22-6870_A1-20,ACOD_PM_001,ACOD_PM_001
DB26_ST-22-8078_A1,ACOD_PM_004,ACOD_PM_004
DP75_ST-23-1250_A1-2023-03-07_14.58.33,ACOD_PM_005,ACOD_PM_005
DJ86_ST-23-123_A1-2023-01-23_16.13.09,ER93_ST-23-6205_A-1-2023-08-15 15.06.45,ER93_ST-23-6205_A-1-2023-08-15 15.06.45
DK46_ST-23-173-A1-2023-01-31_12.03.12,FE61_ST-23-8496_A1 - 2023-11-02 10.13.14,FE61_ST-23-8496_A1 - 2023-11-02 10.13.14
DS49_SS-23-1887-A2-2023-03-15_11.32.25,AF14_SS-21-4274_A1,AF14_SS-21-4274_A1
DV42_ST-23-2210-A1-2023-04-12_09.31.57,CK52_ST-22-4704_A1,CK52_ST-22-4704_A1
EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44,CU43_ST-22-6710_A1-20,CU43_ST-22-6710_A1-20
EH77_ST-23-4629-A1-2023-06-14 14.46.07,AG93_ST-21-4763_A1,AG93_ST-21-4763_A1
EF31_SI-23-4185-B-2-SL1 - 2023-06-09 11.07.25,AS74_ST-21-7325_A-1-SL1 - 2021-07-20 09.11.21,AS74_ST-21-7325_A-1-SL1 - 2021-07-20 09.11.21
ET84_ST-23-6516-A1 - 2023-08-28 11.44.53,FX09_ST-24-1283_A-1 - 2024-02-28 12.43.09,FX09_ST-24-1283_A-1 - 2024-02-28 12.43.09
EU26_ST-23-6571-A1 - 2023-08-28 12.14.26,DE43_ST-22-8462_A1_-_2022-12-08_09.38.48,DE43_ST-22-8462_A1_-_2022-12-08_09.38.48
EW85_SI-23-6999-A-6-SL1 - 2023-09-07 15.31.02,GA55_ST-24-2037_A1 - 2024-03-20 14.44.26,GA55_ST-24-2037_A1 - 2024-03-20 14.44.26
EW18_ST-23-6715-A1 - 2023-09-07 15.42.24,EH28_ST-23-4388-A1 - 2023-06-21 14.29.29,EH28_ST-23-4388-A1 - 2023-06-21 14.29.29
GB68_ST-24-2243_A1 - 2024-03-22 15.01.53,CZ45_SI-22-7818_B2-20,CZ45_SI-22-7818_B2-20
GE14_ST-24-2617_A1 - 2024-04-03 10.09.34,FF67_ST-23-8627-A1,FF67_ST-23-8627-A1
FI06_SS-23-8928-SLIDE-A3,FK21_ST-23-9459_A1 - 2023-12-07 13.35.01,FK21_ST-23-9459_A1 - 2023-12-07 13.35.01
AALU_PM_002,AI61_ST-21-5000_A1,AI61_ST-21-5000_A1
AAND_PM_001,AE99_ST-21-4266_A1,AE99_ST-21-4266_A1
AASH_PM_003,X749-ST-20-1972-20x-S60,X749-ST-20-1972-20x-S60
