,train,val,test
0,AALU_PM_002,ABEE_PM_003,ABEE_PM_003
1,AASH_PM_003,ABND_PM_001,ABND_PM_001
2,AAVO_PM_003,ABND_PM_002,ABND_PM_002
3,ACOM_PM_001,ACOD_PM_001,ACOD_PM_001
4,ACZC_PM_001,AALS_PM_002,AALS_PM_002
5,ADAM_PM_003,ABFK_PM_002,ABFK_PM_002
6,ADBI_PM_003,ACYV_PM_002,ACYV_PM_002
7,ADFZ_PM_001,ADCY_PM_001,ADCY_PM_001
8,ABON_PM_002,ADCY_PM_003,ADCY_PM_003
9,ABON_PM_001,ADCY_PM_002,ADCY_PM_002
10,ACIR_PM_002,AAOZ_PM_002,AAOZ_PM_002
11,ACIR_PM_003,ABMP_PM_001,ABMP_PM_001
12,ACKE_PM_002,ADEG_PM_002,ADEG_PM_002
13,ACKK_PM_002,ADEG_PM_003,ADEG_PM_003
14,ACKK_PM_003,,
15,ACMW_PM_001,,
16,ACMW_PM_002,,
17,ACMW_PM_003,,
18,ACMY_PM_002,,
19,ACPM_PM_001,,
20,ACPM_PM_003,,
21,ACSR_PM_003,,
22,ACSV_PM_001,,
23,ACTU_PM_001,,
24,ACTU_PM_002,,
25,ACTU_PM_003,,
26,ACUB_PM_003,,
27,ACUV_PM_002,,
28,ACXF_PM_001,,
29,ACYW_PM_002,,
30,ACYY_PM_003,,
31,ACZK_PM_002,,
32,ADBK_PM_001,,
33,ADDG_PM_003,,
34,ADFO_PM_001,,
35,ADFO_PM_002,,
36,ADFO_PM_003,,
37,AASV_PM_002,,
38,ABET_PM_001,,
39,ABET_PM_002,,
40,ABMW_PM_002,,
41,ABNA_PM_002,,
42,ABOC_PM_001,,
43,ABOC_PM_002,,
44,ABOC_PM_003,,
45,ACET_PM_003,,
46,ACJC_PM_003,,
47,ACJM_PM_002,,
48,ACJM_PM_003,,
49,ACJZ_PM_002,,
50,ACKJ_PM_003,,
51,ACME_PM_001,,
52,ACME_PM_002,,
53,ACME_PM_003,,
54,ACYX_PM_001,,
55,ACYX_PM_002,,
56,ADBF_PM_002,,
57,ADDC_PM_002,,
58,ADDC_PM_003,,
59,ADDC_PM_001,,
60,ADDX_PM_001,,
61,ADDX_PM_003,,
