train,val,test
U434_SS-19-1191.pt,V105_SS-19-3133.pt,V105_SS-19-3133.pt
V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58.pt,AM87_ST-21-5928_A-1_2 .pt,AM87_ST-21-5928_A-1_2 .pt
W165_SS-19-6009_40x_S60-2019-10-22-18-36-26.pt,ACMY_PM_002,ACMY_PM_002
W167_SS-19-6007_40x_S60-2019-10-22-18-47-59.pt,S149-SS-18-1122-40x-S60.pt,S149-SS-18-1122-40x-S60.pt
W819-ST-19-7750-40x-S60.pt,DK46_ST-23-173-A1-2023-01-31_12.03.12.pt,DK46_ST-23-173-A1-2023-01-31_12.03.12.pt
W549-SS-19-7128-40x-S60.pt,CR10_ST-22-6073_A1.pt,CR10_ST-22-6073_A1.pt
Y082_ST-20-2549_20x_XR.pt,V403_SS-19-3936_20_2019-07-12_17.29.53.pt,V403_SS-19-3936_20_2019-07-12_17.29.53.pt
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05.pt,Y455_ST-20-3520_20x_S60.pt,Y455_ST-20-3520_20x_S60.pt
Y130_ST-20-2672_20x_S60.pt,FX90_ST-24-1566_A1 - 2024-03-08 12.21.15.pt,FX90_ST-24-1566_A1 - 2024-03-08 12.21.15.pt
Z117_ST-20-5139_A1.pt,CY37_SS-22-7433_A1.pt,CY37_SS-22-7433_A1.pt
Z099_SS-20-5127_A2.pt,FQ92_ST-24-200_A-1 - 2024-02-02 14.10.21.pt,FQ92_ST-24-200_A-1 - 2024-02-02 14.10.21.pt
Y640_SS-20-3950_20x_S60.pt,W761-ST-19-7620-40x-S60.pt,W761-ST-19-7620-40x-S60.pt
Z256_SI-20-5097_A1.pt,W269_ST-19-6408_40x_S60_2019-12-11_14.52.39.pt,W269_ST-19-6408_40x_S60_2019-12-11_14.52.39.pt
AI06_ST-21-4956_A1.pt,FA19_ST-23-7576-A-1-SL1-2023-09-29 11.41.53.pt,FA19_ST-23-7576-A-1-SL1-2023-09-29 11.41.53.pt
AQ12_ST-21-6963_A1.pt,ER93_ST-23-6205_A-1-2023-08-15 15.06.45.pt,ER93_ST-23-6205_A-1-2023-08-15 15.06.45.pt
AQ60_ST-21-7136_A1.pt,EA52_ST-23-3303-A1_-_2023-05-08_15.36.34.pt,EA52_ST-23-3303-A1_-_2023-05-08_15.36.34.pt
AP67_SB21-6496_B1_3.pt,BT24_SS-22-1508_A1.pt,BT24_SS-22-1508_A1.pt
AY85_SS-21-8759_A1.pt,W883-ST-19-8107-40x-S60.pt,W883-ST-19-8107-40x-S60.pt
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21.pt,X881-ST-20-2191-20x-XR-2---2020-05-20-09.27.49.pt,X881-ST-20-2191-20x-XR-2---2020-05-20-09.27.49.pt
AU08_ST-21-7776_A1_-_2021-08-11_10.38.51.pt,FE61_ST-23-8496_A1 - 2023-11-02 10.13.14.pt,FE61_ST-23-8496_A1 - 2023-11-02 10.13.14.pt
AW82_ST-21-8297_A1_-_2021-09-01_10.54.50.pt,V465_SI-19-3954_20x_S60_BF-2019-07-26-15-07-38.pt,V465_SI-19-3954_20x_S60_BF-2019-07-26-15-07-38.pt
BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45.pt,Z170_ST-20-5179_A1.pt,Z170_ST-20-5179_A1.pt
BW48_ST-22-2078_A1.pt,BX77_ST-22-2287_A1 - 2022-04-28 12.11.30.pt,BX77_ST-22-2287_A1 - 2022-04-28 12.11.30.pt
CD01_ST-22-3277_A1.pt,CV33_ST-22-7128_A1.pt,CV33_ST-22-7128_A1.pt
CP86_ST-22-5718_A1-20.pt,EY54_ST-23-7288_2023-09-28 .pt,EY54_ST-23-7288_2023-09-28 .pt
CK88_ST-22-4960_A1.pt,EI51_ST-23-4687-A1 - 2023-06-21 14.38.38.pt,EI51_ST-23-4687-A1 - 2023-06-21 14.38.38.pt
CM16_ST-22-5284_A1.pt,ACOD_PM_001,ACOD_PM_001
CP72_ST-22-5896_A1.pt,Z529_ST-20-5836_A1.pt,Z529_ST-20-5836_A1.pt
CJ95_ST-22-4817_A1.pt,ACUV_PM_002,ACUV_PM_002
CU17_ST-22-6646_A1.pt,DB39_SI-22-8046-E-1-S.pt,DB39_SI-22-8046-E-1-S.pt
DB64_ST-22-8087_A1-20.pt,FY47_ST-24-1651_A1 - 2024-03-06 11.22.51.pt,FY47_ST-24-1651_A1 - 2024-03-06 11.22.51.pt
DC18_ST-22-8425-A1-2022-11-22_11.19.57.pt,BR41_SS-22-1146_A1.pt,BR41_SS-22-1146_A1.pt
CV51_ST-22-6835_A1-20.pt,AX76_SS-21-8466_A-1_-_2021-09-09_11.55.38.pt,AX76_SS-21-8466_A-1_-_2021-09-09_11.55.38.pt
CV58_ST-22-6870_A1-20.pt,EK09_ST-23-4884_A1 - 2023-06-29 12.09.18.pt,EK09_ST-23-4884_A1 - 2023-06-29 12.09.18.pt
DB26_ST-22-8078_A1.pt,FD58_ST-23-8307_A4 - 2023-11-02 12.54.16.pt,FD58_ST-23-8307_A4 - 2023-11-02 12.54.16.pt
DP75_ST-23-1250_A1-2023-03-07_14.58.33.pt,ACZK_PM_002,ACZK_PM_002
DJ86_ST-23-123_A1-2023-01-23_16.13.09.pt,Z441_ST-20-5512_A1.pt,Z441_ST-20-5512_A1.pt
DO27_ST-23-952-A-1-SL1-2023-02-16_16.01.13.pt,Y704_ST-20-4109_20X.pt,Y704_ST-20-4109_20X.pt
DS49_SS-23-1887-A2-2023-03-15_11.32.25.pt,V089_SS-19-3028.pt,V089_SS-19-3028.pt
DV42_ST-23-2210-A1-2023-04-12_09.31.57.pt,X442_SS-20-1204-20x-S60-2.pt,X442_SS-20-1204-20x-S60-2.pt
EM82_ST-23-5491-A1 - 2023-07-18 13.35.38.pt,Y105_SS-20-2780_20x_XR.pt,Y105_SS-20-2780_20x_XR.pt
EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44.pt,BT91_ST-22-1861_A1.pt,BT91_ST-22-1861_A1.pt
EF31_SI-23-4185-B-2-SL1 - 2023-06-09 11.07.25.pt,V964_SS-19-5584_40x_S60-2019-10-07-11-17-36.pt,V964_SS-19-5584_40x_S60-2019-10-07-11-17-36.pt
ET84_ST-23-6516-A1 - 2023-08-28 11.44.53.pt,Z100_SS-20-5005_A1.pt,Z100_SS-20-5005_A1.pt
EU26_ST-23-6571-A1 - 2023-08-28 12.14.26.pt,Z006_SS-20-4991_A1.pt,Z006_SS-20-4991_A1.pt
ER34_ST-23-6041_A-1-2023-08-15 11.18.43.pt,CL82_ST-22-4721_A3.pt,CL82_ST-22-4721_A3.pt
EW85_SI-23-6999-A-6-SL1 - 2023-09-07 15.31.02.pt,EO56_ST-23-5655_A1 - 2023-08-01 12.29.29.pt,EO56_ST-23-5655_A1 - 2023-08-01 12.29.29.pt
GB68_ST-24-2243_A1 - 2024-03-22 15.01.53.pt,DB60_SS-22-8141-A1-SL.pt,DB60_SS-22-8141-A1-SL.pt
GE14_ST-24-2617_A1 - 2024-04-03 10.09.34.pt,W918-SS-19-8152-40x-S60.pt,W918-SS-19-8152-40x-S60.pt
FI06_SS-23-8928-SLIDE-A3.pt,X455-SS-20-1121-20x-S60.pt,X455-SS-20-1121-20x-S60.pt
FS43_ST-24-544_A1 - 2024-02-01 11.41.24.pt,ABNA_PM_002,ABNA_PM_002
ABET_PM_001,EV71_ST-23-6699-A1 - 2023-09-06 15.35.01.pt,EV71_ST-23-6699-A1 - 2023-09-06 15.35.01.pt
ABET_PM_002,Y854_ST-20-4514_A-1.pt,Y854_ST-20-4514_A-1.pt
ACMW_PM_001,GA36_ST-24-1847_A1 - 2024-03-20 14.20.07.pt,GA36_ST-24-1847_A1 - 2024-03-20 14.20.07.pt
ACMW_PM_002,ABOC_PM_001,ABOC_PM_001
ACMW_PM_003,ABOC_PM_002,ABOC_PM_002
