train,val,test
U434_SS-19-1191,Y129_ST-20-2671_20x_S60,Y129_ST-20-2671_20x_S60
V105_SS-19-3133,S149-SS-18-1122-40x-S60,S149-SS-18-1122-40x-S60
V403_SS-19-3936_20_2019-07-12_17.29.53,EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44,EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44
V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58,AW82_ST-21-8297_A1_-_2021-09-01_10.54.50,AW82_ST-21-8297_A1_-_2021-09-01_10.54.50
W165_SS-19-6009_40x_S60-2019-10-22-18-36-26,CV58_ST-22-6870_A1-20,CV58_ST-22-6870_A1-20
W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,AM87_ST-21-5928_A-1_2 ,AM87_ST-21-5928_A-1_2 
W819-ST-19-7750-40x-S60,AI06_ST-21-4956_A1,AI06_ST-21-4956_A1
W549-SS-19-7128-40x-S60,FF64_ST-23-8623-A1,FF64_ST-23-8623-A1
Y082_ST-20-2549_20x_XR,BK49_ST-21-11339_A1,BK49_ST-21-11339_A1
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,DO51_ST-23-1001_A1-2023-02-23_12.29.14,DO51_ST-23-1001_A1-2023-02-23_12.29.14
Y130_ST-20-2672_20x_S60,FM47_SS-23-9781-A-1,FM47_SS-23-9781-A-1
Y131_ST-20-2673_20x_S60,BP41_ST-22-889_A12,BP41_ST-22-889_A12
Y868_ST-20-4416,Z225_SS-20-5192_A1,Z225_SS-20-5192_A1
Z117_ST-20-5139_A1,DW16_SS-23-2533_A-1-2023-04-14_12.20.47,DW16_SS-23-2533_A-1-2023-04-14_12.20.47
Z099_SS-20-5127_A2,EB45_ST-23-3393-A1 - 2023-05-10 14.57.05,EB45_ST-23-3393-A1 - 2023-05-10 14.57.05
Y640_SS-20-3950_20x_S60,ET86_ST-23-6596-A1 - 2023-08-28 11.48.21,ET86_ST-23-6596-A1 - 2023-08-28 11.48.21
Z256_SI-20-5097_A1,V288_SS-19-3564_2019-06-27_16.59.49,V288_SS-19-3564_2019-06-27_16.59.49
AQ12_ST-21-6963_A1,W910-SI-19-7762-20x-S60,W910-SI-19-7762-20x-S60
AQ60_ST-21-7136_A1,CX93_ST-22-7488_A1-20,CX93_ST-22-7488_A1-20
AP67_SB21-6496_B1_3,GA28_SS-24-1835_A-1 - 2024-03-15 11.21.37,GA28_SS-24-1835_A-1 - 2024-03-15 11.21.37
AY85_SS-21-8759_A1,ES24_ST-23-6062_A-1-2023-08-18 11.53.08,ES24_ST-23-6062_A-1-2023-08-18 11.53.08
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21,DL94_ST-23-514-A1-2023-02-01_14.19.03,DL94_ST-23-514-A1-2023-02-01_14.19.03
AU08_ST-21-7776_A1_-_2021-08-11_10.38.51,AL05_SS-21-5726_A1,AL05_SS-21-5726_A1
BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45,EZ22_ST-23-7251_2023-09-27,EZ22_ST-23-7251_2023-09-27
BW48_ST-22-2078_A1,CB36_SS-22-3150_A1,CB36_SS-22-3150_A1
CD01_ST-22-3277_A1,FE57_ST-23-8487_B1 - 2023-11-02 10.08.05,FE57_ST-23-8487_B1 - 2023-11-02 10.08.05
CH46_SS-22-4070_A2,W328_ST-19-6513_40x_S60_2019-12-11_16.16.21,W328_ST-19-6513_40x_S60_2019-12-11_16.16.21
CR10_ST-22-6073_A1,FB51_SS-23-7903_A,FB51_SS-23-7903_A
CK88_ST-22-4960_A1,CU55_ST-22-6869_A1-20,CU55_ST-22-6869_A1-20
CP72_ST-22-5896_A1,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16
CJ95_ST-22-4817_A1,CZ07_ST-22-7770_A1-20,CZ07_ST-22-7770_A1-20
DC18_ST-22-8425-A1-2022-11-22_11.19.57,EI72_ST-23-4699-A1 - 2023-06-21 14.44.20,EI72_ST-23-4699-A1 - 2023-06-21 14.44.20
CV51_ST-22-6835_A1-20,DT34_SI-23-1959_D-1-2023-03-24_11.00.51,DT34_SI-23-1959_D-1-2023-03-24_11.00.51
DB26_ST-22-8078_A1,CY95_SI-22-7500_D1-20,CY95_SI-22-7500_D1-20
DP75_ST-23-1250_A1-2023-03-07_14.58.33,FU12_ST-24-791-A1,FU12_ST-24-791-A1
DJ86_ST-23-123_A1-2023-01-23_16.13.09,EK09_ST-23-4884_A1 - 2023-06-29 12.09.18,EK09_ST-23-4884_A1 - 2023-06-29 12.09.18
DK46_ST-23-173-A1-2023-01-31_12.03.12,DO45_ST-23-987-A1-2023-02-24_10.51.25,DO45_ST-23-987-A1-2023-02-24_10.51.25
DS49_SS-23-1887-A2-2023-03-15_11.32.25,EB62_ST-23-3360_A1-2023-05-15_14.32.08,EB62_ST-23-3360_A1-2023-05-15_14.32.08
EM82_ST-23-5491-A1 - 2023-07-18 13.35.38,BU93_ST-22-1850_A1,BU93_ST-22-1850_A1
EH77_ST-23-4629-A1-2023-06-14 14.46.07,BQ88_ST-22-926_A12,BQ88_ST-22-926_A12
ET84_ST-23-6516-A1 - 2023-08-28 11.44.53,BC80_ST-21-9534_A7 - 2021-10-29 14.07.33,BC80_ST-21-9534_A7 - 2021-10-29 14.07.33
EU26_ST-23-6571-A1 - 2023-08-28 12.14.26,V706_SS-19-4722_20x_XR,V706_SS-19-4722_20x_XR
ER34_ST-23-6041_A-1-2023-08-15 11.18.43,ABOC_PM_001,ABOC_PM_001
EW85_SI-23-6999-A-6-SL1 - 2023-09-07 15.31.02,ABOC_PM_002,ABOC_PM_002
EW18_ST-23-6715-A1 - 2023-09-07 15.42.24,ABOC_PM_003,ABOC_PM_003
GB68_ST-24-2243_A1 - 2024-03-22 15.01.53,X847_ST-20-2172-20x-XR,X847_ST-20-2172-20x-XR
GE14_ST-24-2617_A1 - 2024-04-03 10.09.34,DO24_ST-23-898-A1-2023-02-16_15.57.29,DO24_ST-23-898-A1-2023-02-16_15.57.29
FI06_SS-23-8928-SLIDE-A3,FB18_ST-23-7889_A - 2023-10-05 09.23.30,FB18_ST-23-7889_A - 2023-10-05 09.23.30
FS43_ST-24-544_A1 - 2024-02-01 11.41.24,BU64_ST-22-1807_A1 - 2022-04-04 16.15.08,BU64_ST-22-1807_A1 - 2022-04-04 16.15.08
ABET_PM_001,BE34_ST-21-9833-A-1-SL10_-_2021-11-05_10.58.16,BE34_ST-21-9833-A-1-SL10_-_2021-11-05_10.58.16
ABET_PM_002,CL36_ST-22-5072_A1,CL36_ST-22-5072_A1
ACIR_PM_002,CA60_ST-22-2699_A1,CA60_ST-22-2699_A1
ACIR_PM_003,Z752_ST-20-6593_A-1,Z752_ST-20-6593_A-1
ACMW_PM_001,Z441_ST-20-5512_A1,Z441_ST-20-5512_A1
ACMW_PM_002,BN34_ST-22-413_A1 - 2022-02-02 12.29.58,BN34_ST-22-413_A1 - 2022-02-02 12.29.58
ACMW_PM_003,EF60_ST-23-4128-A1 - 2023-06-06 14.19.35,EF60_ST-23-4128-A1 - 2023-06-06 14.19.35
ACMY_PM_002,ACET_PM_003,ACET_PM_003
ACUB_PM_003,,
ADDC_PM_002,,
ADDC_PM_003,,
ADDC_PM_001,,
ADDG_PM_003,,
ADFO_PM_001,,
ADFO_PM_002,,
ADFO_PM_003,,
U764_SS-19-2021__S19-4922-1C_2019-04-25_10.34.00,,
U958_SS-19-2579,,
V194_ST-19-3309-2019-07-05-10-59-37,,
V260_SI-19-3130_2019-06-27_16.57.53,,
V466_SI-19-3778_20x_S60_BF-2019-07-26-15-11-18,,
W046_SS-19-5609_40x_S60-2019-10-18-18-32-02,,
W622-SS-19-7402-40x-S60,,
W269_ST-19-6408_40x_S60_2019-12-11_14.52.39,,
W595-SI-19-6907-20x-S60---2019-12-31-14.36.29,,
W367_ST-19-6640_20x_S60_2019-12-10_18.22.25,,
W883-ST-19-8107-40x-S60,,
W945-ST-19-8159-20x-S60,,
W947-ST-19-8162-40x-S60,,
V773_SS-19-4868_40x_S60-2019-10-04-16-50-08,,
W950-SS-19-8150-40x-S60,,
X954_ST-20-2307-20x-XR,,
X930_ST-20-2333_20x_XR,,
X617-ST-20-1491-20x-S60,,
X618-ST-20-1598-20x-S60,,
X715-SI-20-1837-2A-SL1-20x-S60,,
X649-SS-20-1722-20x-S60,,
X881-ST-20-2191-20x-XR-2---2020-05-20-09.27.49,,
X884-ST-20-2176-20x-XR,,
V313-SI-19-3474-aA-SL1-20x-XR,,
Y128_ST-20-2670_20x_S60,,
Y038_ST-20-2477_20x_XR,,
Y108_ST-20-2663_20x_XR,,
Y183_ST-20-2912_20x_XR - 2020-07-08 12.04.28,,
Y216_SI-20-2949_20x_XR---2020-07-13-10.53.43,,
Y132_ST-20-2630_20x_S60,,
Y795_ST-20-4320,,
Y963_SI-20-4659_B-6,,
Y499_ST-20-3519_20x_S60_2,,
Z063_ST-20-4984_A1,,
Z170_ST-20-5179_A1,,
Z476_SS-20-5951_A1,,
Z312_ST-20-5478_A1,,
Z434_ST-20-5830_A1,,
Z328_ST-20-5477_A1,,
Z529_ST-20-5836_A1,,
AA03_ST-21-3098_A1,,
Z903_ST-21-2781_A1,,
Z848_SS-20-7003_A1,,
AB06_ST-21-3188_A1,,
AC32_ST-21-3381_A2_2,,
AA42_ST-20-6587,,
AB34_ST-21-3282_A1,,
AJ56_ST-21-5484_A1_2,,
AT54_ST-21-7514_A1_-_2021-07-28_14.44.47,,
AO42_ST-21-6553_A1_-_2021-06-23_14.08.47,,
AR56_SB-21-7027_A-3_-_2021-07-15_10.53.54,,
AO69_ST-21-6599_A1_-_2021-06-23_15.18.25,,
AQ65_SS-21-6865_A1_-_2021-07-13_13.29.38,,
AO05_ST-21-6303_B-1,,
AP85-ST-21-6939_A1,,
AP90_ST-21-6950_A1_2,,
AV47_ST-21-7968_A-2-SL1_-_2021-08-20_09.54.08,,
BG28_ST-21-10406_A1_-_2021-11-29_16.32.55,,
BK67_SS-21-11147_A1,,
BJ81_ST-21-11204_A1 - 2021-12-29 14.59.28,,
BC52_SB-21-9482_A-1_-_2021-10-22_13.36.15,,
BO51_ST-22-709_A12,,
BO68_ST-22-610_A1 - 2022-02-15 13.49.54,,
BO71_ST-22-618_A12,,
BO78_ST-22-698_A2 - 2022-02-18 11.01.02,,
BS12_ST-22-1398_A1 - 2022-03-14 12.22.13,,
BZ61_ST-22-2611_A2,,
BV78_ST-22-2000_A1 - 2022-04-07 09.32.11,,
CA75_ST-22-2829_A1,,
BX76_ST-22-2213_A1_-_2022-04-21_09.56.32,,
BX77_ST-22-2287_A1 - 2022-04-28 12.11.30,,
BX79_ST-22-2290_A1,,
BT24_SS-22-1508_A1,,
BR72_ST-22-1213_A1 - 2022-03-14 14.12.27,,
CG62_ST-22-4158_A2,,
CH25_ST-22-4320_A1,,
CD05_ST-22-3345_A-1 - 2022-05-24 12.51.31,,
CE48_ST-22-3811_A1,,
CO28_ST-22-5597_A1-20,,
CQ34_ST-22-5991_A1,,
CT15_SS-22-6627_A1-20,,
CK33_ST-22-4882_A1,,
DF83_ST-22-8846-A-1-2022-12-20_11.48.15,,
DF51_ST-22-8729-A2-2022-12-23_10.30.06,,
DF52_ST-22-8665-A-1-SL1-2022-12-22_13.17.18,,
DI64_ST-22-9384_A-1-2023-01-12_14.16.06,,
CX31_ST-22-7322_A1-20,,
CX35_ST-22-7305_A1-20,,
DC96_ST-22-8177-A-1-SL1-2022-12-08_13.30.39,,
DD32_ST-22-8278_A-1-2022-12-02_12.28.53,,
DH58_ST-22-9165_A1-2023-01-09_13.55.08,,
DC71_SS-22-8469_A-1-2022-12-02_15.02.00,,
DB03_SI-22-8089_B1-20,,
CZ04_ST-22-7781_A1-20,,
CY37_SS-22-7433_A1,,
DA42_SS-22-8060_A1-20,,
DB39_SI-22-8046-E-1-S,,
CV32_ST-22-7143_B1,,
CV33_ST-22-7128_A1,,
CX55_ST-22-7549_A2-2022-11-01 14.13.28,,
DF24_ST-22-8745_A1-2022-12-13_15.10.01,,
DC94_ST-22-821-A1-2022-12-09_12.28.15,,
DI68_ST-22-9382_A1_-_2023-01-12_14.36.41,,
DA78_ST-22-8045_A1-20,,
DA79_ST-22-7993_A1-20,,
CW44_ST-22-7238_A2-20,,
DJ57_ST-23-32-A1-2023-01-19_11.38.16,,
DO07_SB-23-911-C-1-SL1-2023-02-16_16.15.00,,
DV20_SS-23-9387_C20,,
DO30_ST-23-945-A1-2023-02-17_12.20.41,,
DR19_ST-23-1444_A1-2023-03-07_14.32.58,,
DK18_SS-23-340_A1,,
DR24_ST-23-1517_A1-2023-03-07_13.51.34,,
DX31_ST-23-2669-A1_-_2023-04-13_14.42.59,,
DU96_ST-23-2206-A-2-2023-04-03_14.10.47,,
DU97_ST-22-9306-A-1-2023-03-29_13.47.35,,
EA52_ST-23-3303-A1_-_2023-05-08_15.36.34,,
EB82_ST-23-3507_A1-2023-05-15_15.53.30,,
DV75_ST-23-2327_A-1-2023-04-03 14.44.03,,
DZ38_ST-23-3006-A1_-_2023-04-24_12.21.17,,
EA19_ST-23-3261-A1 - 2023-05-09 11.09.53,,
EL50_ST-23-5004_A-1-2023-07-13 13.42.30,,
EP56_ST-23-5844-A1 - 2023-08-08 12.50.47,,
EP57_ST-23-5846-A1 - 2023-08-09 11.43.23,,
EM02_ST-23-4157_B-1-2023-07-13 14.15.22,,
EP65_ST-23-5743-A-1-SL1 - 2023-08-08 13.01.08,,
EI51_ST-23-4687-A1 - 2023-06-21 14.38.38,,
EJ73_ST-23-4912_A1 - 2023-07-12 12.14.20,,
EH73_ST-23-4589-A1-2023-06-14 15.43.05,,
EH74_ST-23-4595-A1-2023-06-14 15.47.45,,
EE17_ST-23-3806_A1 - 2023-05-26 13.16.05,,
EE22_ST-23-3755_A1 - 2023-05-26 12.40.46,,
ES16_ST-23-6174_A-1-2023-08-17 14.24.01,,
EQ21_ST-23-5831-A-1-SL1 - 2023-08-08 13.09.37,,
EQ22_ST-23-5854-A-1-SL1 - 2023-08-08 13.11.23,,
EW17_ST-23-6710-A1 - 2023-09-07 16.26.28,,
EY52_ST-23-7207-A-1-SL1 - 2023-09-27 12.34.16,,
EY54_ST-23-7288_2023-09-28 ,,
EY56_ST-23-7304_2023-09-27,,
FC75_ST-23-8168,,
FC79_ST-23-8152,,
FE37_ST-23-8503,,
FA19_ST-23-7576-A-1-SL1-2023-09-29 11.41.53,,
FA55_ST-23-7674-A-1-SL1-2023-09-29 12.19.23,,
FE61_ST-23-8496_A1 - 2023-11-02 10.13.14,,
GE26_ST-24-2613_A-2 - 2024-04-05 13.33.07,,
GB04_ST-24-2125_A1 - 2024-03-20 14.59.46,,
GB05_ST-24-2126_A1 - 2024-03-20 15.02.12,,
GD09_ST-24-2273_A1 - 2024-03-29 11.58.00,,
FH82_ST-23-8995_A1 - 2023-11-22 09.11.25,,
FG17_ST-23-8748_A1 - 2023-11-15 09.45.29,,
FG61_SI-23-8707-A-3,,
FG97_ST-23-8858_A1 - 2023-11-15 10.26.05,,
FF57_ST-23-8582-A1,,
