train,val,test
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
