,train,val,test
0,ABEE_PM_003,AALU_PM_002,AALU_PM_002
1,ACOM_PM_001,ACYY_PM_003,ACYY_PM_003
2,ACYV_PM_002,ACPM_PM_001,ACPM_PM_001
3,ACZC_PM_001,ACPM_PM_003,ACPM_PM_003
4,ABND_PM_001,ABOC_PM_001,ABOC_PM_001
5,ABND_PM_002,ABOC_PM_002,ABOC_PM_002
6,ABON_PM_002,ABOC_PM_003,ABOC_PM_003
7,ABON_PM_001,AAVO_PM_003,AAVO_PM_003
8,ACIR_PM_002,ACTU_PM_001,ACTU_PM_001
9,ACIR_PM_003,ACTU_PM_002,ACTU_PM_002
10,ACKE_PM_002,ACTU_PM_003,ACTU_PM_003
11,ACKK_PM_002,ACMW_PM_001,ACMW_PM_001
12,ACKK_PM_003,ACMW_PM_002,ACMW_PM_002
13,ACMY_PM_002,ACMW_PM_003,ACMW_PM_003
14,ACOD_PM_001,ABMP_PM_001,ABMP_PM_001
15,ACSR_PM_003,,
16,ACSV_PM_001,,
17,ACUB_PM_003,,
18,ACUV_PM_002,,
19,ACXF_PM_001,,
20,ACYW_PM_002,,
21,AALS_PM_002,,
22,ABET_PM_001,,
23,ABET_PM_002,,
24,ABFK_PM_002,,
25,ABMW_PM_002,,
26,ABNA_PM_002,,
27,ACET_PM_003,,
28,ACJC_PM_003,,
29,ACJZ_PM_002,,
30,ACKJ_PM_003,,
31,ACME_PM_001,,
32,ACME_PM_002,,
33,ACME_PM_003,,
34,ACYX_PM_001,,
35,ACYX_PM_002,,
