,train,val,test
ABEE_PM_003,True,False,False
ACOM_PM_001,True,False,False
ACYV_PM_002,True,False,False
ACZC_PM_001,True,False,False
ABND_PM_001,True,False,False
ABND_PM_002,True,False,False
ABON_PM_002,True,False,False
ABON_PM_001,True,False,False
ACIR_PM_002,True,False,False
ACIR_PM_003,True,False,False
ACKE_PM_002,True,False,False
ACKK_PM_002,True,False,False
ACKK_PM_003,True,False,False
ACMY_PM_002,True,False,False
ACOD_PM_001,True,False,False
ACSR_PM_003,True,False,False
ACSV_PM_001,True,False,False
ACUB_PM_003,True,False,False
ACUV_PM_002,True,False,False
ACXF_PM_001,True,False,False
ACYW_PM_002,True,False,False
AALS_PM_002,True,False,False
ABET_PM_001,True,False,False
ABET_PM_002,True,False,False
ABFK_PM_002,True,False,False
ABMW_PM_002,True,False,False
ABNA_PM_002,True,False,False
ACET_PM_003,True,False,False
ACJC_PM_003,True,False,False
ACJZ_PM_002,True,False,False
ACKJ_PM_003,True,False,False
ACME_PM_001,True,False,False
ACME_PM_002,True,False,False
ACME_PM_003,True,False,False
ACYX_PM_001,True,False,False
ACYX_PM_002,True,False,False
AALU_PM_002,False,True,False
ACYY_PM_003,False,True,False
ACPM_PM_001,False,True,False
ACPM_PM_003,False,True,False
ABOC_PM_001,False,True,False
ABOC_PM_002,False,True,False
ABOC_PM_003,False,True,False
AAVO_PM_003,False,True,False
ACTU_PM_001,False,True,False
ACTU_PM_002,False,True,False
ACTU_PM_003,False,True,False
ACMW_PM_001,False,True,False
ACMW_PM_002,False,True,False
ACMW_PM_003,False,True,False
ABMP_PM_001,False,True,False
AALU_PM_002,False,False,True
ACYY_PM_003,False,False,True
ACPM_PM_001,False,False,True
ACPM_PM_003,False,False,True
ABOC_PM_001,False,False,True
ABOC_PM_002,False,False,True
ABOC_PM_003,False,False,True
AAVO_PM_003,False,False,True
ACTU_PM_001,False,False,True
ACTU_PM_002,False,False,True
ACTU_PM_003,False,False,True
ACMW_PM_001,False,False,True
ACMW_PM_002,False,False,True
ACMW_PM_003,False,False,True
ABMP_PM_001,False,False,True
